BAIT	id	ms_uniprot_ac	ms_unique_pep	ms_spectral_counts	names	lengths	uniprot_id	Mass
Vector	FU000385	Q9Y2X3		1	sp|Q9Y2X3|NOP58_HUMAN	529	NOP58_HUMAN	58190
Vector	FU000385	A6NDG6		12	sp|A6NDG6|PGP_HUMAN	321	PGP_HUMAN	35310
Vector	FU000385	O00244		11	sp|O00244|ATOX1_HUMAN	68	ATOX1_HUMAN	7480
Vector	FU000385	Q16527		18	sp|Q16527|CSRP2_HUMAN	193	CSRP2_HUMAN	21230
Vector	FU000385	Q3ZCM7		6	sp|Q3ZCM7|TBB8_HUMAN	444	TBB8_HUMAN	48840
Vector	FU000385	P04406		9	sp|P04406|G3P_HUMAN	335	G3P_HUMAN	36850
Vector	FU000385	Q86U90		5	sp|Q86U90|YRDC_HUMAN	279	YRDC_HUMAN	30690
Vector	FU000385	O43353		1	sp|O43353|RIPK2_HUMAN	540	RIPK2_HUMAN	59400
Vector	FU000385	Q66PJ3		2	sp|Q66PJ3|AR6P4_HUMAN	421	AR6P4_HUMAN	46310
Vector	FU000385	Q6P5R6		5	sp|Q6P5R6|RL22L_HUMAN	122	RL22L_HUMAN	13420
Vector	FU000385	Q9GZN7		1	sp|Q9GZN7|ROGDI_HUMAN	287	ROGDI_HUMAN	31570
Vector	FU000385	P39019		3	sp|P39019|RS19_HUMAN	145	RS19_HUMAN	15950
Vector	FU000385	P62987		12	sp|P62987|RL40_HUMAN	128	RL40_HUMAN	14080
Vector	FU000385	O43734		2	sp|O43734|CIKS_HUMAN	574	CIKS_HUMAN	63140
Vector	FU000385	P08865		7	sp|P08865|RSSA_HUMAN	295	RSSA_HUMAN	32450
Vector	FU000385	Q14331		11	sp|Q14331|FRG1_HUMAN	258	FRG1_HUMAN	28380
Vector	FU000385	Q8TAV0		2	sp|Q8TAV0|FA76A_HUMAN	307	FA76A_HUMAN	33770
Vector	FU000385	O43837		3	sp|O43837|IDH3B_HUMAN	385	IDH3B_HUMAN	42350
Vector	FU000385	Q07021		1	sp|Q07021|C1QBP_HUMAN	282	C1QBP_HUMAN	31020
Vector	FU000385	P52597		4	sp|P52597|HNRPF_HUMAN	415	HNRPF_HUMAN	45650
Vector	FU000385	O14757		1	sp|O14757|CHK1_HUMAN	476	CHK1_HUMAN	52360
Vector	FU000385	Q96EY4		6	sp|Q96EY4|TMA16_HUMAN	203	TMA16_HUMAN	22330
Vector	FU000385	Q01813		2	sp|Q01813|PFKAP_HUMAN	784	PFKAP_HUMAN	86240
Vector	FU000385	P30153		1	sp|P30153|2AAA_HUMAN	589	2AAA_HUMAN	64790
Vector	FU000385	Q9P016		4	sp|Q9P016|THYN1_HUMAN	225	THYN1_HUMAN	24750
Vector	FU000385	P13639		12	sp|P13639|EF2_HUMAN	858	EF2_HUMAN	94380
Vector	FU000385	P62753		2	sp|P62753|RS6_HUMAN	249	RS6_HUMAN	27390
Vector	FU000385	P25398		14	sp|P25398|RS12_HUMAN	132	RS12_HUMAN	14520
Vector	FU000385	P05165		65	sp|P05165|PCCA_HUMAN	728	PCCA_HUMAN	80080
Vector	FU000385	Q9Y3C8		1	sp|Q9Y3C8|UFC1_HUMAN	167	UFC1_HUMAN	18370
Vector	FU000385	P38646		28	sp|P38646|GRP75_HUMAN	679	GRP75_HUMAN	74690
Vector	FU000385	P14618		11	sp|P14618|KPYM_HUMAN	531	KPYM_HUMAN	58410
Vector	FU000385	Q96FZ2		2	sp|Q96FZ2|HMCES_HUMAN	354	HMCES_HUMAN	38940
Vector	FU000385	Q8WVK2		20	sp|Q8WVK2|SNR27_HUMAN	155	SNR27_HUMAN	17050
Vector	FU000385	Q9Y388		4	sp|Q9Y388|RBMX2_HUMAN	322	RBMX2_HUMAN	35420
Vector	FU000385	Q9H257		1	sp|Q9H257|CARD9_HUMAN	536	CARD9_HUMAN	58960
Vector	FU000385	P63104		1	sp|P63104|1433Z_HUMAN	245	1433Z_HUMAN	26950
Vector	FU000385	P00558		4	sp|P00558|PGK1_HUMAN	417	PGK1_HUMAN	45870
Vector	FU000385	Q9UFW8		3	sp|Q9UFW8|CGBP1_HUMAN	167	CGBP1_HUMAN	18370
Vector	FU000385	Q15393		2	sp|Q15393|SF3B3_HUMAN	1217	SF3B3_HUMAN	133870
Vector	FU000385	Q9H7C9		3	sp|Q9H7C9|AAMDC_HUMAN	122	AAMDC_HUMAN	13420
Vector	FU000385	Q14978		5	sp|Q14978|NOLC1_HUMAN	699	NOLC1_HUMAN	76890
Vector	FU000385	Q13356		1	sp|Q13356|PPIL2_HUMAN	520	PPIL2_HUMAN	57200
Vector	FU000385	P14174		2	sp|P14174|MIF_HUMAN	115	MIF_HUMAN	12650
Vector	FU000385	Q9Y285		1	sp|Q9Y285|SYFA_HUMAN	508	SYFA_HUMAN	55880
Vector	FU000385	P67809		1	sp|P67809|YBOX1_HUMAN	324	YBOX1_HUMAN	35640
Vector	FU000385	Q9BU76		8	sp|Q9BU76|MMTA2_HUMAN	263	MMTA2_HUMAN	28930
Vector	FU000385	P82912		1	sp|P82912|RT11_HUMAN	194	RT11_HUMAN	21340
Vector	FU000385	A1KXE4		2	sp|A1KXE4|F168B_HUMAN	195	F168B_HUMAN	21450
Vector	FU000385	Q8WXX5		1	sp|Q8WXX5|DNJC9_HUMAN	260	DNJC9_HUMAN	28600
Vector	FU000385	O00483		1	sp|O00483|NDUA4_HUMAN	81	NDUA4_HUMAN	8910
Vector	FU000385	P23246		2	sp|P23246|SFPQ_HUMAN	707	SFPQ_HUMAN	77770
Vector	FU000385	P04080		15	sp|P04080|CYTB_HUMAN	98	CYTB_HUMAN	10780
Vector	FU000385	Q08170		1	sp|Q08170|SRSF4_HUMAN	494	SRSF4_HUMAN	54340
Vector	FU000385	O75380		2	sp|O75380|NDUS6_HUMAN	124	NDUS6_HUMAN	13640
Vector	FU000385	Q969H8		1	sp|Q969H8|MYDGF_HUMAN	173	MYDGF_HUMAN	19030
Vector	FU000385	P56270		3	sp|P56270|MAZ_HUMAN	477	MAZ_HUMAN	52470
Vector	FU000385	Q9Y3A5		1	sp|Q9Y3A5|SBDS_HUMAN	250	SBDS_HUMAN	27500
Vector	FU000385	P26368		13	sp|P26368|U2AF2_HUMAN	475	U2AF2_HUMAN	52250
Vector	FU000385	P53384		1	sp|P53384|NUBP1_HUMAN	320	NUBP1_HUMAN	35200
Vector	FU000385	Q9BRX2		13	sp|Q9BRX2|PELO_HUMAN	385	PELO_HUMAN	42350
Vector	FU000385	P62857		5	sp|P62857|RS28_HUMAN	69	RS28_HUMAN	7590
Vector	FU000385	Q9BQE3		4	sp|Q9BQE3|TBA1C_HUMAN	449	TBA1C_HUMAN	49390
Vector	FU000385	P63220		2	sp|P63220|RS21_HUMAN	83	RS21_HUMAN	9130
Vector	FU000385	P84090		5	sp|P84090|ERH_HUMAN	104	ERH_HUMAN	11440
Vector	FU000385	Q9HC38		5	sp|Q9HC38|GLOD4_HUMAN	313	GLOD4_HUMAN	34430
Vector	FU000385	P27348		2	sp|P27348|1433T_HUMAN	245	1433T_HUMAN	26950
Vector	FU000385	P08238		5	sp|P08238|HS90B_HUMAN	724	HS90B_HUMAN	79640
Vector	FU000385	P05204		8	sp|P05204|HMGN2_HUMAN	90	HMGN2_HUMAN	9900
Vector	FU000385	O43482		4	sp|O43482|MS18B_HUMAN	229	MS18B_HUMAN	25190
Vector	FU000385	Q9HCC0		38	sp|Q9HCC0|MCCB_HUMAN	563	MCCB_HUMAN	61930
Vector	FU000385	Q8N9Q2		16	sp|Q8N9Q2|SR1IP_HUMAN	155	SR1IP_HUMAN	17050
Vector	FU000385	Q9NSV4		12	sp|Q9NSV4|DIAP3_HUMAN	1193	DIAP3_HUMAN	131230
Vector	FU000385	P62266		3	sp|P62266|RS23_HUMAN	143	RS23_HUMAN	15730
Vector	FU000385	O60343		2	sp|O60343|TBCD4_HUMAN	1298	TBCD4_HUMAN	142780
Vector	FU000385	Q15637		22	sp|Q15637|SF01_HUMAN	639	SF01_HUMAN	70290
Vector	FU000385	Q9H3K6		16	sp|Q9H3K6|BOLA2_HUMAN	86	BOLA2_HUMAN	9460
Vector	FU000385	Q01105		4	sp|Q01105|SET_HUMAN	290	SET_HUMAN	31900
Vector	FU000385	P35080		5	sp|P35080|PROF2_HUMAN	140	PROF2_HUMAN	15400
Vector	FU000385	P23528		6	sp|P23528|COF1_HUMAN	166	COF1_HUMAN	18260
Vector	FU000385	Q9NYF8		3	sp|Q9NYF8|BCLF1_HUMAN	920	BCLF1_HUMAN	101200
Vector	FU000385	O43583		2	sp|O43583|DENR_HUMAN	198	DENR_HUMAN	21780
Vector	FU000385	Q96F45		2	sp|Q96F45|ZN503_HUMAN	646	ZN503_HUMAN	71060
Vector	FU000385	Q96IZ6		1	sp|Q96IZ6|MET2A_HUMAN	378	MET2A_HUMAN	41580
Vector	FU000385	O75940		8	sp|O75940|SPF30_HUMAN	238	SPF30_HUMAN	26180
Vector	FU000385	Q8NEZ5		6	sp|Q8NEZ5|FBX22_HUMAN	403	FBX22_HUMAN	44330
Vector	FU000385	P62826		6	sp|P62826|RAN_HUMAN	216	RAN_HUMAN	23760
Vector	FU000385	Q08209		1	sp|Q08209|PP2BA_HUMAN	521	PP2BA_HUMAN	57310
Vector	FU000385	P20155		1	sp|P20155|ISK2_HUMAN	84	ISK2_HUMAN	9240
Vector	FU000385	P17096		2	sp|P17096|HMGA1_HUMAN	107	HMGA1_HUMAN	11770
Vector	FU000385	Q07955		3	sp|Q07955|SRSF1_HUMAN	248	SRSF1_HUMAN	27280
Vector	FU000385	P30101		9	sp|P30101|PDIA3_HUMAN	505	PDIA3_HUMAN	55550
Vector	FU000385	Q5VTB9		5	sp|Q5VTB9|RN220_HUMAN	566	RN220_HUMAN	62260
Vector	FU000385	Q8NAV1		9	sp|Q8NAV1|PR38A_HUMAN	312	PR38A_HUMAN	34320
Vector	FU000385	Q8N1G4		3	sp|Q8N1G4|LRC47_HUMAN	583	LRC47_HUMAN	64130
Vector	FU000385	Q99439		6	sp|Q99439|CNN2_HUMAN	309	CNN2_HUMAN	33990
Vector	FU000385	Q96I24		49	sp|Q96I24|FUBP3_HUMAN	572	FUBP3_HUMAN	62920
Vector	FU000385	Q14061		5	sp|Q14061|COX17_HUMAN	63	COX17_HUMAN	6930
Vector	FU000385	Q9BY42		5	sp|Q9BY42|RTF2_HUMAN	306	RTF2_HUMAN	33660
Vector	FU000385	Q9UI43		11	sp|Q9UI43|MRM2_HUMAN	246	MRM2_HUMAN	27060
Vector	FU000385	P15880		11	sp|P15880|RS2_HUMAN	293	RS2_HUMAN	32230
Vector	FU000385	Q13526		4	sp|Q13526|PIN1_HUMAN	163	PIN1_HUMAN	17930
Vector	FU000385	Q8N6N3		1	sp|Q8N6N3|CA052_HUMAN	182	CA052_HUMAN	20020
Vector	FU000385	Q9NQ88		2	sp|Q9NQ88|TIGAR_HUMAN	270	TIGAR_HUMAN	29700
Vector	FU000385	O43175		4	sp|O43175|SERA_HUMAN	533	SERA_HUMAN	58630
Vector	FU000385	P33992		3	sp|P33992|MCM5_HUMAN	734	MCM5_HUMAN	80740
Vector	FU000385	P62942		4	sp|P62942|FKB1A_HUMAN	108	FKB1A_HUMAN	11880
Vector	FU000385	Q9Y3D2		4	sp|Q9Y3D2|MSRB2_HUMAN	182	MSRB2_HUMAN	20020
Vector	FU000385	Q8IWS0		12	sp|Q8IWS0|PHF6_HUMAN	365	PHF6_HUMAN	40150
Vector	FU000385	P60842		3	sp|P60842|IF4A1_HUMAN	406	IF4A1_HUMAN	44660
Vector	FU000385	Q99623		3	sp|Q99623|PHB2_HUMAN	299	PHB2_HUMAN	32890
Vector	FU000385	Q96CT7		6	sp|Q96CT7|CC124_HUMAN	223	CC124_HUMAN	24530
Vector	FU000385	Q9Y508		1	sp|Q9Y508|RN114_HUMAN	228	RN114_HUMAN	25080
Vector	FU000385	Q8NBS9		9	sp|Q8NBS9|TXND5_HUMAN	432	TXND5_HUMAN	47520
Vector	FU000385	Q9UM13		1	sp|Q9UM13|APC10_HUMAN	185	APC10_HUMAN	20350
Vector	FU000385	P60981		3	sp|P60981|DEST_HUMAN	165	DEST_HUMAN	18150
Vector	FU000385	P62633		17	sp|P62633|CNBP_HUMAN	177	CNBP_HUMAN	19470
Vector	FU000385	O60869		2	sp|O60869|EDF1_HUMAN	148	EDF1_HUMAN	16280
Vector	FU000385	P05141		6	sp|P05141|ADT2_HUMAN	298	ADT2_HUMAN	32780
Vector	FU000385	Q13085		259	sp|Q13085|ACACA_HUMAN	2346	ACACA_HUMAN	258060
Vector	FU000385	Q86SX6		2	sp|Q86SX6|GLRX5_HUMAN	157	GLRX5_HUMAN	17270
Vector	FU000385	Q8ND56		1	sp|Q8ND56|LS14A_HUMAN	463	LS14A_HUMAN	50930
Vector	FU000385	Q13542		2	sp|Q13542|4EBP2_HUMAN	120	4EBP2_HUMAN	13200
Vector	FU000385	O00410		2	sp|O00410|IPO5_HUMAN	1097	IPO5_HUMAN	120670
Vector	FU000385	P23921		2	sp|P23921|RIR1_HUMAN	792	RIR1_HUMAN	87120
Vector	FU000385	P55145		1	sp|P55145|MANF_HUMAN	182	MANF_HUMAN	20020
Vector	FU000385	O76003		5	sp|O76003|GLRX3_HUMAN	335	GLRX3_HUMAN	36850
Vector	FU000385	E9PAV3		12	sp|E9PAV3|NACAM_HUMAN	2078	NACAM_HUMAN	228580
Vector	FU000385	Q8WVV9		1	sp|Q8WVV9|HNRLL_HUMAN	542	HNRLL_HUMAN	59620
Vector	FU000385	O75223		2	sp|O75223|GGCT_HUMAN	188	GGCT_HUMAN	20680
Vector	FU000385	Q7Z7K0		4	sp|Q7Z7K0|COXM1_HUMAN	106	COXM1_HUMAN	11660
Vector	FU000385	Q16630		4	sp|Q16630|CPSF6_HUMAN	551	CPSF6_HUMAN	60610
Vector	FU000385	O15235		7	sp|O15235|RT12_HUMAN	138	RT12_HUMAN	15180
Vector	FU000385	Q96EK6		4	sp|Q96EK6|GNA1_HUMAN	184	GNA1_HUMAN	20240
Vector	FU000385	O43396		5	sp|O43396|TXNL1_HUMAN	289	TXNL1_HUMAN	31790
Vector	FU000385	Q13523		2	sp|Q13523|PRP4B_HUMAN	1007	PRP4B_HUMAN	110770
Vector	FU000385	P30405		4	sp|P30405|PPIF_HUMAN	207	PPIF_HUMAN	22770
Vector	FU000385	P30041		6	sp|P30041|PRDX6_HUMAN	224	PRDX6_HUMAN	24640
Vector	FU000385	Q9P258		30	sp|Q9P258|RCC2_HUMAN	522	RCC2_HUMAN	57420
Vector	FU000385	P05166		29	sp|P05166|PCCB_HUMAN	539	PCCB_HUMAN	59290
Vector	FU000385	Q9P270		1	sp|Q9P270|SLAI2_HUMAN	581	SLAI2_HUMAN	63910
Vector	FU000385	O43677		4	sp|O43677|NDUC1_HUMAN	76	NDUC1_HUMAN	8360
Vector	FU000385	Q5TAX3		1	sp|Q5TAX3|TUT4_HUMAN	1644	TUT4_HUMAN	180840
Vector	FU000385	Q5MNZ6		2	sp|Q5MNZ6|WIPI3_HUMAN	344	WIPI3_HUMAN	37840
Vector	FU000385	Q9Y2V2		3	sp|Q9Y2V2|CHSP1_HUMAN	147	CHSP1_HUMAN	16170
Vector	FU000385	Q9UQ80		2	sp|Q9UQ80|PA2G4_HUMAN	394	PA2G4_HUMAN	43340
Vector	FU000385	P62861		4	sp|P62861|RS30_HUMAN	59	RS30_HUMAN	6490
Vector	FU000385	P62805		6	sp|P62805|H4_HUMAN	103	H4_HUMAN	11330
Vector	FU000385	P11586		7	sp|P11586|C1TC_HUMAN	935	C1TC_HUMAN	102850
Vector	FU000385	O75340		5	sp|O75340|PDCD6_HUMAN	191	PDCD6_HUMAN	21010
Vector	FU000385	P63241		1	sp|P63241|IF5A1_HUMAN	154	IF5A1_HUMAN	16940
Vector	FU000385	P60468		2	sp|P60468|SC61B_HUMAN	96	SC61B_HUMAN	10560
Vector	FU000385	Q9Y421		3	sp|Q9Y421|FA32A_HUMAN	112	FA32A_HUMAN	12320
Vector	FU000385	P25705		3	sp|P25705|ATPA_HUMAN	553	ATPA_HUMAN	60830
Vector	FU000385	Q9UQ35		4	sp|Q9UQ35|SRRM2_HUMAN	2752	SRRM2_HUMAN	302720
Vector	FU000385	Q9HB71		5	sp|Q9HB71|CYBP_HUMAN	228	CYBP_HUMAN	25080
Vector	FU000385	P08708		3	sp|P08708|RS17_HUMAN	135	RS17_HUMAN	14850
Vector	FU000385	Q96J01		1	sp|Q96J01|THOC3_HUMAN	351	THOC3_HUMAN	38610
Vector	FU000385	Q86WX3		1	sp|Q86WX3|AROS_HUMAN	136	AROS_HUMAN	14960
Vector	FU000385	Q9P2E9		1	sp|Q9P2E9|RRBP1_HUMAN	1410	RRBP1_HUMAN	155100
Vector	FU000385	Q86WR7		1	sp|Q86WR7|PRSR2_HUMAN	435	PRSR2_HUMAN	47850
Vector	FU000385	P22102		4	sp|P22102|PUR2_HUMAN	1010	PUR2_HUMAN	111100
Vector	FU000385	Q04837		1	sp|Q04837|SSBP_HUMAN	148	SSBP_HUMAN	16280
Vector	FU000385	P52272		1	sp|P52272|HNRPM_HUMAN	730	HNRPM_HUMAN	80300
Vector	FU000385	P46783		1	sp|P46783|RS10_HUMAN	165	RS10_HUMAN	18150
Vector	FU000385	P63173		32	sp|P63173|RL38_HUMAN	70	RL38_HUMAN	7700
Vector	FU000385	P11387		10	sp|P11387|TOP1_HUMAN	765	TOP1_HUMAN	84150
Vector	FU000385	Q5BKY9		2	sp|Q5BKY9|F133B_HUMAN	247	F133B_HUMAN	27170
Vector	FU000385	Q8IWX8		25	sp|Q8IWX8|CHERP_HUMAN	916	CHERP_HUMAN	100760
