id	ms_uniprot_ac	BAIT	ms_unique_pep	ms_spectral_counts	names	lengths	uniprot_id	Mass
FU000385	O75400	Vector		4	sp|O75400|PR40A_HUMAN	957	PR40A_HUMAN	105270
FU000385	O75694	Vector		5	sp|O75694|NU155_HUMAN	1391	NU155_HUMAN	153010
FU000385	O75937	Vector		3	sp|O75937|DNJC8_HUMAN	253	DNJC8_HUMAN	27830
FU000385	O75940	Vector		8	sp|O75940|SPF30_HUMAN	238	SPF30_HUMAN	26180
FU000385	O76003	Vector		5	sp|O76003|GLRX3_HUMAN	335	GLRX3_HUMAN	36850
FU000385	O94903	Vector		4	sp|O94903|PLPHP_HUMAN	275	PLPHP_HUMAN	30250
FU000385	O95049	Vector		3	sp|O95049|ZO3_HUMAN	919	ZO3_HUMAN	101090
FU000385	O95232	Vector		25	sp|O95232|LC7L3_HUMAN	432	LC7L3_HUMAN	47520
FU000385	O95336	Vector		5	sp|O95336|6PGL_HUMAN	258	6PGL_HUMAN	28380
FU000385	O95372	Vector		1	sp|O95372|LYPA2_HUMAN	231	LYPA2_HUMAN	25410
FU000385	O95881	Vector		7	sp|O95881|TXD12_HUMAN	172	TXD12_HUMAN	18920
FU000385	P00338	Vector		1	sp|P00338|LDHA_HUMAN	332	LDHA_HUMAN	36520
FU000385	P00492	Vector		3	sp|P00492|HPRT_HUMAN	218	HPRT_HUMAN	23980
FU000385	P00558	Vector		4	sp|P00558|PGK1_HUMAN	417	PGK1_HUMAN	45870
FU000385	P04075	Vector		2	sp|P04075|ALDOA_HUMAN	364	ALDOA_HUMAN	40040
FU000385	P04080	Vector		15	sp|P04080|CYTB_HUMAN	98	CYTB_HUMAN	10780
FU000385	P04406	Vector		9	sp|P04406|G3P_HUMAN	335	G3P_HUMAN	36850
FU000385	P05114	Vector		3	sp|P05114|HMGN1_HUMAN	100	HMGN1_HUMAN	11000
FU000385	P05141	Vector		6	sp|P05141|ADT2_HUMAN	298	ADT2_HUMAN	32780
FU000385	P05165	Vector		65	sp|P05165|PCCA_HUMAN	728	PCCA_HUMAN	80080
FU000385	P05166	Vector		29	sp|P05166|PCCB_HUMAN	539	PCCB_HUMAN	59290
FU000385	P05204	Vector		8	sp|P05204|HMGN2_HUMAN	90	HMGN2_HUMAN	9900
FU000385	P05387	Vector		3	sp|P05387|RLA2_HUMAN	115	RLA2_HUMAN	12650
FU000385	P06730	Vector		2	sp|P06730|IF4E_HUMAN	217	IF4E_HUMAN	23870
FU000385	P06733	Vector		22	sp|P06733|ENOA_HUMAN	434	ENOA_HUMAN	47740
FU000385	P07195	Vector		2	sp|P07195|LDHB_HUMAN	334	LDHB_HUMAN	36740
FU000385	P07437	Vector		5	sp|P07437|TBB5_HUMAN	444	TBB5_HUMAN	48840
FU000385	P07737	Vector		1	sp|P07737|PROF1_HUMAN	140	PROF1_HUMAN	15400
FU000385	P08238	Vector		5	sp|P08238|HS90B_HUMAN	724	HS90B_HUMAN	79640
FU000385	P08708	Vector		3	sp|P08708|RS17_HUMAN	135	RS17_HUMAN	14850
FU000385	P08865	Vector		7	sp|P08865|RSSA_HUMAN	295	RSSA_HUMAN	32450
FU000385	P09429	Vector		6	sp|P09429|HMGB1_HUMAN	215	HMGB1_HUMAN	23650
FU000385	P09874	Vector		13	sp|P09874|PARP1_HUMAN	1014	PARP1_HUMAN	111540
FU000385	P0DPB5	Vector		2	sp|P0DPB5|RPC22_HUMAN	122	RPC22_HUMAN	13420
FU000385	P10599	Vector		34	sp|P10599|THIO_HUMAN	105	THIO_HUMAN	11550
FU000385	P10809	Vector		17	sp|P10809|CH60_HUMAN	573	CH60_HUMAN	63030
FU000385	P11021	Vector		16	sp|P11021|BIP_HUMAN	654	BIP_HUMAN	71940
FU000385	P11142	Vector		20	sp|P11142|HSP7C_HUMAN	646	HSP7C_HUMAN	71060
FU000385	P11387	Vector		10	sp|P11387|TOP1_HUMAN	765	TOP1_HUMAN	84150
FU000385	P11498	Vector		174	sp|P11498|PYC_HUMAN	1178	PYC_HUMAN	129580
FU000385	P11586	Vector		7	sp|P11586|C1TC_HUMAN	935	C1TC_HUMAN	102850
FU000385	P13639	Vector		12	sp|P13639|EF2_HUMAN	858	EF2_HUMAN	94380
FU000385	P13797	Vector		4	sp|P13797|PLST_HUMAN	630	PLST_HUMAN	69300
FU000385	P14174	Vector		2	sp|P14174|MIF_HUMAN	115	MIF_HUMAN	12650
FU000385	P14618	Vector		11	sp|P14618|KPYM_HUMAN	531	KPYM_HUMAN	58410
FU000385	P14621	Vector		1	sp|P14621|ACYP2_HUMAN	99	ACYP2_HUMAN	10890
FU000385	P15531	Vector		5	sp|P15531|NDKA_HUMAN	152	NDKA_HUMAN	16720
FU000385	P15880	Vector		11	sp|P15880|RS2_HUMAN	293	RS2_HUMAN	32230
FU000385	P16152	Vector		10	sp|P16152|CBR1_HUMAN	277	CBR1_HUMAN	30470
FU000385	P17096	Vector		2	sp|P17096|HMGA1_HUMAN	107	HMGA1_HUMAN	11770
FU000385	P17812	Vector		7	sp|P17812|PYRG1_HUMAN	591	PYRG1_HUMAN	65010
FU000385	P17844	Vector		10	sp|P17844|DDX5_HUMAN	614	DDX5_HUMAN	67540
FU000385	P18621	Vector		4	sp|P18621|RL17_HUMAN	184	RL17_HUMAN	20240
FU000385	P20155	Vector		1	sp|P20155|ISK2_HUMAN	84	ISK2_HUMAN	9240
FU000385	P20290	Vector		2	sp|P20290|BTF3_HUMAN	206	BTF3_HUMAN	22660
FU000385	P21266	Vector		1	sp|P21266|GSTM3_HUMAN	225	GSTM3_HUMAN	24750
FU000385	P21741	Vector		1	sp|P21741|MK_HUMAN	143	MK_HUMAN	15730
FU000385	P22061	Vector		31	sp|P22061|PIMT_HUMAN	227	PIMT_HUMAN	24970
FU000385	P22102	Vector		4	sp|P22102|PUR2_HUMAN	1010	PUR2_HUMAN	111100
FU000385	P22314	Vector		3	sp|P22314|UBA1_HUMAN	1058	UBA1_HUMAN	116380
FU000385	P23193	Vector		1	sp|P23193|TCEA1_HUMAN	301	TCEA1_HUMAN	33110
FU000385	P23246	Vector		2	sp|P23246|SFPQ_HUMAN	707	SFPQ_HUMAN	77770
FU000385	P23284	Vector		30	sp|P23284|PPIB_HUMAN	216	PPIB_HUMAN	23760
FU000385	P23396	Vector		16	sp|P23396|RS3_HUMAN	243	RS3_HUMAN	26730
FU000385	P23528	Vector		6	sp|P23528|COF1_HUMAN	166	COF1_HUMAN	18260
FU000385	P23921	Vector		2	sp|P23921|RIR1_HUMAN	792	RIR1_HUMAN	87120
FU000385	P24666	Vector		1	sp|P24666|PPAC_HUMAN	158	PPAC_HUMAN	17380
FU000385	P25205	Vector		6	sp|P25205|MCM3_HUMAN	808	MCM3_HUMAN	88880
FU000385	P25398	Vector		14	sp|P25398|RS12_HUMAN	132	RS12_HUMAN	14520
FU000385	P25705	Vector		3	sp|P25705|ATPA_HUMAN	553	ATPA_HUMAN	60830
FU000385	P25786	Vector		2	sp|P25786|PSA1_HUMAN	263	PSA1_HUMAN	28930
FU000385	P26196	Vector		2	sp|P26196|DDX6_HUMAN	483	DDX6_HUMAN	53130
FU000385	P26368	Vector		13	sp|P26368|U2AF2_HUMAN	475	U2AF2_HUMAN	52250
FU000385	P26373	Vector		1	sp|P26373|RL13_HUMAN	211	RL13_HUMAN	23210
FU000385	P26583	Vector		3	sp|P26583|HMGB2_HUMAN	209	HMGB2_HUMAN	22990
FU000385	P26599	Vector		5	sp|P26599|PTBP1_HUMAN	531	PTBP1_HUMAN	58410
FU000385	P26885	Vector		2	sp|P26885|FKBP2_HUMAN	142	FKBP2_HUMAN	15620
FU000385	P27348	Vector		2	sp|P27348|1433T_HUMAN	245	1433T_HUMAN	26950
FU000385	P27695	Vector		2	sp|P27695|APEX1_HUMAN	318	APEX1_HUMAN	34980
FU000385	P27816	Vector		5	sp|P27816|MAP4_HUMAN	1152	MAP4_HUMAN	126720
FU000385	P29372	Vector		13	sp|P29372|3MG_HUMAN	298	3MG_HUMAN	32780
FU000385	P29590	Vector		2	sp|P29590|PML_HUMAN	882	PML_HUMAN	97020
FU000385	P30041	Vector		6	sp|P30041|PRDX6_HUMAN	224	PRDX6_HUMAN	24640
FU000385	P30048	Vector		4	sp|P30048|PRDX3_HUMAN	256	PRDX3_HUMAN	28160
FU000385	P30086	Vector		3	sp|P30086|PEBP1_HUMAN	187	PEBP1_HUMAN	20570
FU000385	P30101	Vector		9	sp|P30101|PDIA3_HUMAN	505	PDIA3_HUMAN	55550
FU000385	P30153	Vector		1	sp|P30153|2AAA_HUMAN	589	2AAA_HUMAN	64790
FU000385	P30405	Vector		4	sp|P30405|PPIF_HUMAN	207	PPIF_HUMAN	22770
FU000385	P31943	Vector		4	sp|P31943|HNRH1_HUMAN	449	HNRH1_HUMAN	49390
FU000385	P32121	Vector		15	sp|P32121|ARRB2_HUMAN	409	ARRB2_HUMAN	44990
FU000385	P32969	Vector		6	sp|P32969|RL9_HUMAN	192	RL9_HUMAN	21120
FU000385	P33316	Vector		6	sp|P33316|DUT_HUMAN	252	DUT_HUMAN	27720
FU000385	P33992	Vector		3	sp|P33992|MCM5_HUMAN	734	MCM5_HUMAN	80740
FU000385	P35030	Vector		2	sp|P35030|TRY3_HUMAN	304	TRY3_HUMAN	33440
FU000385	P35080	Vector		5	sp|P35080|PROF2_HUMAN	140	PROF2_HUMAN	15400
FU000385	P35232	Vector		3	sp|P35232|PHB_HUMAN	272	PHB_HUMAN	29920
FU000385	P35268	Vector		5	sp|P35268|RL22_HUMAN	128	RL22_HUMAN	14080
FU000385	P35659	Vector		11	sp|P35659|DEK_HUMAN	375	DEK_HUMAN	41250
FU000385	P36969	Vector		6	sp|P36969|GPX4_HUMAN	197	GPX4_HUMAN	21670
FU000385	P37802	Vector		2	sp|P37802|TAGL2_HUMAN	199	TAGL2_HUMAN	21890
FU000385	P38646	Vector		28	sp|P38646|GRP75_HUMAN	679	GRP75_HUMAN	74690
FU000385	P38919	Vector		1	sp|P38919|IF4A3_HUMAN	411	IF4A3_HUMAN	45210
FU000385	P39019	Vector		3	sp|P39019|RS19_HUMAN	145	RS19_HUMAN	15950
FU000385	P41223	Vector		3	sp|P41223|BUD31_HUMAN	144	BUD31_HUMAN	15840
FU000385	P42677	Vector		5	sp|P42677|RS27_HUMAN	84	RS27_HUMAN	9240
FU000385	P42766	Vector		1	sp|P42766|RL35_HUMAN	123	RL35_HUMAN	13530
FU000385	P46109	Vector		25	sp|P46109|CRKL_HUMAN	303	CRKL_HUMAN	33330
FU000385	P46781	Vector		2	sp|P46781|RS9_HUMAN	194	RS9_HUMAN	21340
FU000385	P46783	Vector		1	sp|P46783|RS10_HUMAN	165	RS10_HUMAN	18150
FU000385	P47756	Vector		2	sp|P47756|CAPZB_HUMAN	277	CAPZB_HUMAN	30470
FU000385	P47914	Vector		2	sp|P47914|RL29_HUMAN	159	RL29_HUMAN	17490
FU000385	P48507	Vector		6	sp|P48507|GSH0_HUMAN	274	GSH0_HUMAN	30140
FU000385	P49674	Vector		2	sp|P49674|KC1E_HUMAN	416	KC1E_HUMAN	45760
FU000385	P49756	Vector		7	sp|P49756|RBM25_HUMAN	843	RBM25_HUMAN	92730
FU000385	P49915	Vector		1	sp|P49915|GUAA_HUMAN	693	GUAA_HUMAN	76230
FU000385	P50454	Vector		3	sp|P50454|SERPH_HUMAN	418	SERPH_HUMAN	45980
FU000385	P50747	Vector		7	sp|P50747|BPL1_HUMAN	726	BPL1_HUMAN	79860
FU000385	P50990	Vector		1	sp|P50990|TCPQ_HUMAN	548	TCPQ_HUMAN	60280
FU000385	P51610	Vector		2	sp|P51610|HCFC1_HUMAN	2035	HCFC1_HUMAN	223850
FU000385	P51858	Vector		3	sp|P51858|HDGF_HUMAN	240	HDGF_HUMAN	26400
FU000385	P52272	Vector		1	sp|P52272|HNRPM_HUMAN	730	HNRPM_HUMAN	80300
FU000385	P52597	Vector		4	sp|P52597|HNRPF_HUMAN	415	HNRPF_HUMAN	45650
FU000385	P52907	Vector		10	sp|P52907|CAZA1_HUMAN	286	CAZA1_HUMAN	31460
FU000385	P53350	Vector		2	sp|P53350|PLK1_HUMAN	603	PLK1_HUMAN	66330
FU000385	P53384	Vector		1	sp|P53384|NUBP1_HUMAN	320	NUBP1_HUMAN	35200
FU000385	P53597	Vector		2	sp|P53597|SUCA_HUMAN	346	SUCA_HUMAN	38060
FU000385	P53999	Vector		21	sp|P53999|TCP4_HUMAN	127	TCP4_HUMAN	13970
FU000385	P54819	Vector		3	sp|P54819|KAD2_HUMAN	239	KAD2_HUMAN	26290
FU000385	P54886	Vector		7	sp|P54886|P5CS_HUMAN	795	P5CS_HUMAN	87450
FU000385	P55081	Vector		2	sp|P55081|MFAP1_HUMAN	439	MFAP1_HUMAN	48290
FU000385	P55145	Vector		1	sp|P55145|MANF_HUMAN	182	MANF_HUMAN	20020
FU000385	P55769	Vector		6	sp|P55769|NH2L1_HUMAN	128	NH2L1_HUMAN	14080
FU000385	P55789	Vector		2	sp|P55789|ALR_HUMAN	205	ALR_HUMAN	22550
FU000385	P56270	Vector		3	sp|P56270|MAZ_HUMAN	477	MAZ_HUMAN	52470
FU000385	P58546	Vector		3	sp|P58546|MTPN_HUMAN	118	MTPN_HUMAN	12980
FU000385	P60468	Vector		2	sp|P60468|SC61B_HUMAN	96	SC61B_HUMAN	10560
FU000385	P60842	Vector		3	sp|P60842|IF4A1_HUMAN	406	IF4A1_HUMAN	44660
FU000385	P60866	Vector		14	sp|P60866|RS20_HUMAN	119	RS20_HUMAN	13090
FU000385	P60981	Vector		3	sp|P60981|DEST_HUMAN	165	DEST_HUMAN	18150
FU000385	P61247	Vector		2	sp|P61247|RS3A_HUMAN	264	RS3A_HUMAN	29040
FU000385	P61289	Vector		2	sp|P61289|PSME3_HUMAN	254	PSME3_HUMAN	27940
FU000385	P61513	Vector		4	sp|P61513|RL37A_HUMAN	92	RL37A_HUMAN	10120
FU000385	P61758	Vector		1	sp|P61758|PFD3_HUMAN	197	PFD3_HUMAN	21670
FU000385	P61978	Vector		13	sp|P61978|HNRPK_HUMAN	463	HNRPK_HUMAN	50930
FU000385	P62081	Vector		3	sp|P62081|RS7_HUMAN	194	RS7_HUMAN	21340
FU000385	P62241	Vector		2	sp|P62241|RS8_HUMAN	208	RS8_HUMAN	22880
FU000385	P62249	Vector		7	sp|P62249|RS16_HUMAN	146	RS16_HUMAN	16060
FU000385	P62263	Vector		3	sp|P62263|RS14_HUMAN	151	RS14_HUMAN	16610
FU000385	P62266	Vector		3	sp|P62266|RS23_HUMAN	143	RS23_HUMAN	15730
FU000385	P62269	Vector		9	sp|P62269|RS18_HUMAN	152	RS18_HUMAN	16720
FU000385	P62277	Vector		1	sp|P62277|RS13_HUMAN	151	RS13_HUMAN	16610
FU000385	P62280	Vector		7	sp|P62280|RS11_HUMAN	158	RS11_HUMAN	17380
FU000385	P62306	Vector		2	sp|P62306|RUXF_HUMAN	86	RUXF_HUMAN	9460
FU000385	P62633	Vector		17	sp|P62633|CNBP_HUMAN	177	CNBP_HUMAN	19470
FU000385	P62701	Vector		4	sp|P62701|RS4X_HUMAN	263	RS4X_HUMAN	28930
FU000385	P62753	Vector		2	sp|P62753|RS6_HUMAN	249	RS6_HUMAN	27390
FU000385	P62805	Vector		6	sp|P62805|H4_HUMAN	103	H4_HUMAN	11330
FU000385	P62826	Vector		6	sp|P62826|RAN_HUMAN	216	RAN_HUMAN	23760
FU000385	P62829	Vector		13	sp|P62829|RL23_HUMAN	140	RL23_HUMAN	15400
FU000385	P62847	Vector		1	sp|P62847|RS24_HUMAN	133	RS24_HUMAN	14630
FU000385	P62851	Vector		7	sp|P62851|RS25_HUMAN	125	RS25_HUMAN	13750
FU000385	P62857	Vector		5	sp|P62857|RS28_HUMAN	69	RS28_HUMAN	7590
FU000385	P62861	Vector		4	sp|P62861|RS30_HUMAN	59	RS30_HUMAN	6490
FU000385	P62888	Vector		15	sp|P62888|RL30_HUMAN	115	RL30_HUMAN	12650
FU000385	P62913	Vector		7	sp|P62913|RL11_HUMAN	178	RL11_HUMAN	19580
FU000385	P62937	Vector		19	sp|P62937|PPIA_HUMAN	165	PPIA_HUMAN	18150
FU000385	P62942	Vector		4	sp|P62942|FKB1A_HUMAN	108	FKB1A_HUMAN	11880
FU000385	P62979	Vector		5	sp|P62979|RS27A_HUMAN	156	RS27A_HUMAN	17160
FU000385	P62987	Vector		12	sp|P62987|RL40_HUMAN	128	RL40_HUMAN	14080
FU000385	P63104	Vector		1	sp|P63104|1433Z_HUMAN	245	1433Z_HUMAN	26950
FU000385	P63167	Vector		2	sp|P63167|DYL1_HUMAN	89	DYL1_HUMAN	9790
FU000385	P63173	Vector		32	sp|P63173|RL38_HUMAN	70	RL38_HUMAN	7700
FU000385	P63208	Vector		1	sp|P63208|SKP1_HUMAN	163	SKP1_HUMAN	17930
FU000385	P63220	Vector		2	sp|P63220|RS21_HUMAN	83	RS21_HUMAN	9130
FU000385	P63241	Vector		1	sp|P63241|IF5A1_HUMAN	154	IF5A1_HUMAN	16940
FU000385	P63244	Vector		3	sp|P63244|RACK1_HUMAN	317	RACK1_HUMAN	34870
FU000385	P63261	Vector		1	sp|P63261|ACTG_HUMAN	375	ACTG_HUMAN	41250
FU000385	P67809	Vector		1	sp|P67809|YBOX1_HUMAN	324	YBOX1_HUMAN	35640
FU000385	P68036	Vector		5	sp|P68036|UB2L3_HUMAN	154	UB2L3_HUMAN	16940
FU000385	P78346	Vector		2	sp|P78346|RPP30_HUMAN	268	RPP30_HUMAN	29480
FU000385	P82912	Vector		1	sp|P82912|RT11_HUMAN	194	RT11_HUMAN	21340
FU000385	P84090	Vector		5	sp|P84090|ERH_HUMAN	104	ERH_HUMAN	11440
FU000385	P84098	Vector		2	sp|P84098|RL19_HUMAN	196	RL19_HUMAN	21560
FU000385	P84101	Vector		2	sp|P84101|SERF2_HUMAN	59	SERF2_HUMAN	6490
FU000385	P84103	Vector		12	sp|P84103|SRSF3_HUMAN	164	SRSF3_HUMAN	18040
FU000385	P99999	Vector		2	sp|P99999|CYC_HUMAN	105	CYC_HUMAN	11550
FU000385	Q00325	Vector		2	sp|Q00325|MPCP_HUMAN	362	MPCP_HUMAN	39820
FU000385	Q00839	Vector		1	sp|Q00839|HNRPU_HUMAN	825	HNRPU_HUMAN	90750
FU000385	Q01105	Vector		4	sp|Q01105|SET_HUMAN	290	SET_HUMAN	31900
FU000385	Q01130	Vector		7	sp|Q01130|SRSF2_HUMAN	221	SRSF2_HUMAN	24310
FU000385	Q01813	Vector		2	sp|Q01813|PFKAP_HUMAN	784	PFKAP_HUMAN	86240
FU000385	Q01844	Vector		9	sp|Q01844|EWS_HUMAN	656	EWS_HUMAN	72160
FU000385	Q02978	Vector		1	sp|Q02978|M2OM_HUMAN	314	M2OM_HUMAN	34540
FU000385	Q04837	Vector		1	sp|Q04837|SSBP_HUMAN	148	SSBP_HUMAN	16280
FU000385	Q06124	Vector		3	sp|Q06124|PTN11_HUMAN	597	PTN11_HUMAN	65670
FU000385	Q06830	Vector		4	sp|Q06830|PRDX1_HUMAN	199	PRDX1_HUMAN	21890
FU000385	Q07021	Vector		1	sp|Q07021|C1QBP_HUMAN	282	C1QBP_HUMAN	31020
FU000385	Q07955	Vector		3	sp|Q07955|SRSF1_HUMAN	248	SRSF1_HUMAN	27280
FU000385	Q08170	Vector		1	sp|Q08170|SRSF4_HUMAN	494	SRSF4_HUMAN	54340
FU000385	Q08209	Vector		1	sp|Q08209|PP2BA_HUMAN	521	PP2BA_HUMAN	57310
FU000385	Q12834	Vector		1	sp|Q12834|CDC20_HUMAN	499	CDC20_HUMAN	54890
FU000385	Q13085	Vector		259	sp|Q13085|ACACA_HUMAN	2346	ACACA_HUMAN	258060
FU000385	Q13322	Vector		2	sp|Q13322|GRB10_HUMAN	594	GRB10_HUMAN	65340
FU000385	Q13356	Vector		1	sp|Q13356|PPIL2_HUMAN	520	PPIL2_HUMAN	57200
FU000385	Q13427	Vector		1	sp|Q13427|PPIG_HUMAN	754	PPIG_HUMAN	82940
FU000385	Q13428	Vector		6	sp|Q13428|TCOF_HUMAN	1488	TCOF_HUMAN	163680
FU000385	Q13442	Vector		12	sp|Q13442|HAP28_HUMAN	181	HAP28_HUMAN	19910
FU000385	Q13523	Vector		2	sp|Q13523|PRP4B_HUMAN	1007	PRP4B_HUMAN	110770
FU000385	Q13526	Vector		4	sp|Q13526|PIN1_HUMAN	163	PIN1_HUMAN	17930
FU000385	Q13541	Vector		4	sp|Q13541|4EBP1_HUMAN	118	4EBP1_HUMAN	12980
FU000385	Q13542	Vector		2	sp|Q13542|4EBP2_HUMAN	120	4EBP2_HUMAN	13200
FU000385	Q13572	Vector		4	sp|Q13572|ITPK1_HUMAN	414	ITPK1_HUMAN	45540
FU000385	Q13573	Vector		1	sp|Q13573|SNW1_HUMAN	536	SNW1_HUMAN	58960
FU000385	Q13642	Vector		10	sp|Q13642|FHL1_HUMAN	323	FHL1_HUMAN	35530
FU000385	Q13685	Vector		1	sp|Q13685|AAMP_HUMAN	434	AAMP_HUMAN	47740
FU000385	Q14061	Vector		5	sp|Q14061|COX17_HUMAN	63	COX17_HUMAN	6930
FU000385	Q14247	Vector		10	sp|Q14247|SRC8_HUMAN	550	SRC8_HUMAN	60500
FU000385	Q14331	Vector		11	sp|Q14331|FRG1_HUMAN	258	FRG1_HUMAN	28380
FU000385	Q14498	Vector		36	sp|Q14498|RBM39_HUMAN	530	RBM39_HUMAN	58300
FU000385	Q14657	Vector		1	sp|Q14657|LAGE3_HUMAN	143	LAGE3_HUMAN	15730
FU000385	Q14677	Vector		1	sp|Q14677|EPN4_HUMAN	625	EPN4_HUMAN	68750
FU000385	Q14686	Vector		1	sp|Q14686|NCOA6_HUMAN	2063	NCOA6_HUMAN	226930
FU000385	Q14807	Vector		6	sp|Q14807|KIF22_HUMAN	665	KIF22_HUMAN	73150
FU000385	Q14978	Vector		5	sp|Q14978|NOLC1_HUMAN	699	NOLC1_HUMAN	76890
FU000385	Q15058	Vector		1	sp|Q15058|KIF14_HUMAN	1648	KIF14_HUMAN	181280
FU000385	Q15084	Vector		9	sp|Q15084|PDIA6_HUMAN	440	PDIA6_HUMAN	48400
FU000385	Q15181	Vector		2	sp|Q15181|IPYR_HUMAN	289	IPYR_HUMAN	31790
FU000385	Q15185	Vector		2	sp|Q15185|TEBP_HUMAN	160	TEBP_HUMAN	17600
FU000385	Q15233	Vector		2	sp|Q15233|NONO_HUMAN	471	NONO_HUMAN	51810
FU000385	Q15365	Vector		14	sp|Q15365|PCBP1_HUMAN	356	PCBP1_HUMAN	39160
FU000385	Q15366	Vector		7	sp|Q15366|PCBP2_HUMAN	365	PCBP2_HUMAN	40150
FU000385	Q15393	Vector		2	sp|Q15393|SF3B3_HUMAN	1217	SF3B3_HUMAN	133870
FU000385	Q15417	Vector		13	sp|Q15417|CNN3_HUMAN	329	CNN3_HUMAN	36190
FU000385	Q15459	Vector		2	sp|Q15459|SF3A1_HUMAN	793	SF3A1_HUMAN	87230
FU000385	Q15464	Vector		5	sp|Q15464|SHB_HUMAN	509	SHB_HUMAN	55990
FU000385	Q15599	Vector		1	sp|Q15599|NHRF2_HUMAN	337	NHRF2_HUMAN	37070
FU000385	Q15637	Vector		22	sp|Q15637|SF01_HUMAN	639	SF01_HUMAN	70290
FU000385	Q15654	Vector		3	sp|Q15654|TRIP6_HUMAN	476	TRIP6_HUMAN	52360
FU000385	Q15843	Vector		2	sp|Q15843|NEDD8_HUMAN	81	NEDD8_HUMAN	8910
FU000385	Q16527	Vector		18	sp|Q16527|CSRP2_HUMAN	193	CSRP2_HUMAN	21230
FU000385	Q16630	Vector		4	sp|Q16630|CPSF6_HUMAN	551	CPSF6_HUMAN	60610
FU000385	Q2TBE0	Vector		3	sp|Q2TBE0|C19L2_HUMAN	894	C19L2_HUMAN	98340
FU000385	Q3MHD2	Vector		2	sp|Q3MHD2|LSM12_HUMAN	195	LSM12_HUMAN	21450
FU000385	Q3ZCM7	Vector		6	sp|Q3ZCM7|TBB8_HUMAN	444	TBB8_HUMAN	48840
FU000385	Q5BKY9	Vector		2	sp|Q5BKY9|F133B_HUMAN	247	F133B_HUMAN	27170
