a	b	c	IP	FU000385	FU000387	FU000389	FU000391	FU000393	FU000395	FU000397	FU000399	FU000401	FU000403	FU000405	FU000407	FU000409	FU000411	FU000413	FU000415	FU000417	FU000419	FU000423	FU000425	FU000427	FU000429	FU000431	FU000433	FU000435	FU000437	FU000439	FU000441	FU000443	FU000445	FU000447	FU000449	FU000451	FU000453	FU000455	FU000457
O60716	1	968	N	1	4	4	3	0	4	0	0	3	4	4	7	3	5	2	3	0	0	0	1	1	3	3	2	2	0	1	2	3	0	1	4	0	3	0	3
O60762	1	260	N	0	0	0	0	0	0	0	0	3	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
O60828	1	265	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	1	0	0
O60832	1	514	N	0	0	0	0	9	17	7	16	3	0	0	1	0	0	1	0	9	10	9	11	0	0	0	0	0	10	0	0	3	11	0	0	12	0	13	0
O60841	1	1220	N	0	0	0	0	0	0	0	0	7	1	0	1	0	0	19	0	0	3	0	5	0	0	0	3	0	0	21	0	34	0	1	9	0	27	2	4
O60869	1	148	N	2	2	2	3	2	2	2	3	2	1	0	2	0	1	3	2	2	2	0	0	0	1	2	2	3	0	3	1	6	0	2	2	0	5	1	1
O60870	1	393	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60884	1	412	N	0	0	4	2	1	0	0	0	4	2	0	0	0	0	2	3	0	0	0	0	1	2	0	0	0	0	3	2	0	0	0	5	2	0	1	1
O75150	1	1001	N	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	7	0	0	0	0	0	0	8	0	0	0
O75190	1	326	N	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
O75223	1	188	N	2	2	2	2	0	0	0	0	0	2	2	3	2	2	0	0	0	0	0	0	0	2	1	0	1	0	0	2	0	0	2	0	0	1	0	1
O75340	1	191	N	5	6	8	7	9	9	4	4	8	9	9	8	8	7	9	7	4	5	6	5	4	7	6	5	8	6	8	6	6	8	7	8	7	7	5	8
O75367	1	372	N	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75380	1	124	N	2	0	2	4	3	2	0	2	0	2	2	4	3	2	1	2	0	2	0	2	0	1	0	2	0	3	1	0	1	0	2	0	2	2	2	0
O75400	1	957	N	4	8	4	6	9	5	7	6	4	5	10	8	10	5	8	8	5	4	2	5	4	3	4	6	5	6	8	5	10	4	8	7	2	10	4	5
O75475	1	530	N	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	2	0	0
O75533	1	1304	N	0	1	1	1	33	41	18	17	3	0	0	0	0	0	0	0	20	16	26	31	0	0	0	0	0	31	1	0	2	19	0	0	27	0	13	0
O75569	1	313	N	0	0	0	0	2	1	11	12	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	10	0
O75643	1	2136	N	0	0	0	0	12	10	0	0	0	0	0	0	0	0	0	0	0	2	2	4	0	0	0	0	0	3	0	0	0	6	0	0	4	0	7	0
O75683	1	361	N	0	0	0	0	5	4	7	7	0	0	0	0	0	0	0	0	6	6	4	6	0	0	0	0	0	6	0	0	0	5	0	0	8	0	4	0
O75694	1	1391	N	5	6	7	5	0	0	4	5	7	4	11	12	4	9	5	6	0	2	0	0	4	3	3	7	5	0	4	4	0	7	9	4	1	7	3	4
O75934	1	225	N	0	0	0	1	9	8	5	6	0	0	0	0	0	0	0	0	2	3	5	4	0	0	0	0	0	5	0	0	0	8	0	0	9	0	8	0
O75937	1	253	N	3	2	4	4	4	2	2	2	7	3	1	4	2	2	12	6	1	2	2	7	0	3	2	4	4	3	12	4	17	1	4	7	2	15	2	4
O75940	1	238	N	8	5	6	5	8	3	7	9	5	10	5	6	6	10	9	8	5	6	7	9	4	4	4	7	7	3	12	5	12	6	6	4	7	14	7	5
O75962	1	3097	N	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
O76003	1	335	N	5	2	7	4	0	1	1	0	0	1	4	4	3	2	1	1	1	0	0	1	0	1	2	2	0	1	0	0	4	1	4	4	1	2	1	4
O76021	1	490	N	0	0	0	0	33	37	41	38	0	0	0	0	0	0	0	0	32	35	26	27	0	0	0	0	0	27	0	0	0	36	0	0	25	0	28	0
O76094	1	671	N	0	0	0	0	12	13	11	8	0	0	0	0	0	0	0	0	6	3	5	5	0	0	0	0	0	1	0	0	0	3	0	0	1	0	4	0
O94903	1	275	N	4	8	12	8	7	4	7	7	3	9	12	10	8	7	10	8	6	6	5	5	11	7	8	7	6	4	6	4	5	5	8	7	7	7	6	7
O94906	1	941	N	0	0	0	0	3	5	0	1	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0
O95049	1	919	N	3	0	1	2	2	0	2	0	0	0	2	1	0	0	2	2	0	0	1	3	1	0	1	2	1	2	0	0	0	3	0	0	0	0	0	2
O95104	1	1147	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0
O95218	1	330	N	0	0	0	0	0	0	0	0	1	0	2	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	4	0	0
O95229	1	277	N	0	2	0	0	2	1	2	2	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	3	2	0	0	0	2	0	0	0	0	2	0
O95232	1	432	N	25	21	29	28	28	22	22	22	26	29	28	27	22	22	37	26	14	19	17	32	23	19	29	29	23	23	34	22	51	23	24	27	16	35	18	31
O95295	1	136	N	0	0	0	0	8	12	0	0	0	0	0	0	0	0	0	0	1	1	4	7	0	0	0	0	0	9	0	0	0	0	0	0	7	0	0	0
O95336	1	258	N	5	5	3	4	3	3	2	5	7	6	4	5	4	5	2	7	3	2	0	1	3	4	5	5	7	3	3	5	4	3	5	6	2	2	2	4
O95372	1	231	N	1	1	1	0	0	2	0	0	2	0	1	2	1	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0
O95470	1	568	N	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O95478	1	260	N	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
O95602	1	1720	N	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	2	0
O95625	1	1053	N	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O95707	1	220	N	0	0	0	0	2	1	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0
O95721	1	258	N	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
O95793	1	577	N	0	0	0	0	16	20	10	14	0	0	0	0	0	0	0	0	8	10	15	19	0	0	0	0	0	18	0	0	0	15	0	0	22	0	12	0
O95801	1	387	N	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O95831	1	613	N	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
O95881	1	172	N	7	9	8	11	11	10	10	10	10	9	11	10	8	11	9	7	8	12	9	10	9	8	9	10	12	10	9	10	10	10	9	10	9	8	8	8
P00338	1	332	N	1	0	0	0	0	1	0	1	2	3	0	0	1	1	1	2	0	0	0	0	0	0	0	0	3	0	1	2	1	0	2	1	0	0	0	0
P00492	1	218	N	3	7	9	8	6	6	3	7	5	5	6	8	1	7	4	6	4	6	3	3	7	5	3	4	4	2	2	6	2	6	5	7	2	3	2	10
P00558	1	417	N	4	1	1	2	2	0	1	3	2	1	4	4	3	1	3	2	0	2	2	0	0	1	0	0	3	0	2	0	3	1	2	1	0	1	1	3
P01583	1	271	N	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
P01833	1	764	N	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P04049	1	648	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P04075	1	364	N	2	0	0	0	1	2	0	0	1	3	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0
P04080	1	98	N	15	11	13	20	14	12	11	10	17	14	15	12	8	10	14	10	11	11	12	12	10	11	11	12	10	14	15	19	12	11	18	14	11	13	9	11
P04264	1	644	N	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
P04350	1	444	N	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
P04406	1	335	N	9	12	9	9	12	11	12	10	12	8	9	11	7	9	11	8	8	9	9	7	8	10	9	13	12	8	9	10	8	13	9	12	10	9	9	8
P04637	1	393	N	0	0	0	0	24	26	0	0	0	0	0	0	0	0	0	0	0	0	18	12	0	0	0	0	0	21	0	0	0	0	0	0	19	0	0	0
P04843	1	607	N	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
P05023	1	1023	N	0	0	0	2	0	2	0	0	24	18	0	0	0	0	12	12	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	12	0	0	0	0
P05114	1	100	N	3	3	2	2	3	1	2	2	6	3	2	3	2	2	16	6	2	2	2	11	2	1	5	7	2	2	17	2	25	2	3	7	2	16	2	8
P05141	1	298	N	6	7	8	9	10	9	11	13	19	20	11	10	12	13	21	20	12	11	11	9	12	12	13	10	14	11	18	10	5	12	8	20	11	8	9	12
P05165	1	728	N	65	64	57	66	45	43	57	59	63	56	73	69	62	69	49	51	54	50	27	30	44	50	62	45	75	41	55	52	56	51	66	49	32	61	47	52
P05166	1	539	N	29	37	36	29	10	18	25	26	26	25	43	38	37	39	37	27	21	20	14	10	19	28	35	28	43	16	25	30	31	20	41	30	13	34	25	34
P05204	1	90	N	8	6	4	9	14	11	7	12	8	6	6	6	6	6	19	15	4	17	11	21	3	5	11	17	8	10	18	4	17	6	10	12	3	18	8	8
P05386	1	114	N	0	1	0	0	13	15	10	8	0	0	0	0	0	0	0	0	11	10	12	12	0	0	0	0	0	13	0	0	0	10	0	0	8	0	12	0
P05387	1	115	N	3	0	1	1	39	36	37	40	4	4	2	0	0	0	2	0	35	38	35	32	1	0	0	0	0	34	4	2	0	33	0	4	33	0	32	0
P05388	1	317	N	0	0	0	0	14	17	15	14	0	0	0	0	0	0	0	0	16	18	13	14	0	0	0	0	0	13	0	0	0	17	0	0	10	0	13	0
P05455	1	408	N	0	0	0	0	8	8	9	11	0	0	0	0	0	0	0	0	6	7	9	8	0	0	0	0	0	9	0	0	0	10	0	0	8	0	8	0
P06493	1	297	N	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P06576	1	529	N	0	0	0	0	0	2	0	0	5	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0
P06730	1	217	N	2	3	1	4	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0
P06733	1	434	N	22	18	25	16	11	22	15	15	22	24	26	25	22	21	22	21	16	14	20	18	20	24	19	17	21	17	17	17	17	14	20	25	19	18	12	23
P06748	1	294	N	0	0	0	0	11	18	16	13	0	0	0	0	0	0	2	0	10	13	9	9	0	0	0	0	0	10	1	0	2	17	0	0	16	2	18	0
P07195	1	334	N	2	2	2	3	2	1	2	1	3	4	2	2	2	2	3	4	1	2	2	2	0	1	3	1	2	2	2	2	0	2	2	3	3	2	2	2
P07305	1	194	N	0	0	0	0	6	6	5	3	0	0	0	0	0	0	0	0	2	5	3	2	0	0	0	0	0	2	0	0	0	5	0	0	4	0	4	0
P07355	1	339	N	0	0	0	1	0	0	0	1	2	2	2	2	2	2	2	0	0	0	0	0	1	2	2	0	0	0	0	2	0	1	1	1	0	0	0	1
P07437	1	444	N	5	6	10	14	8	10	7	5	15	15	9	8	5	8	13	15	1	2	5	6	12	12	8	5	4	7	13	8	8	5	10	13	5	5	9	13
P07737	1	140	N	1	0	1	3	3	3	0	0	1	0	2	2	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	2	2	1	1	0	0	2
P07814	1	1512	N	0	0	1	1	5	5	3	0	0	0	0	0	0	0	1	0	3	3	2	3	0	0	0	0	0	3	0	1	0	6	0	2	2	0	4	0
P07900	1	732	N	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
P07910	1	306	N	0	0	0	0	16	16	14	10	0	0	0	0	0	0	0	0	11	14	9	14	0	0	0	0	0	12	0	0	0	10	0	0	11	0	9	0
P08195	1	630	N	0	0	0	0	0	0	0	0	3	6	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
